"id","name","code"
"formapago_01","Sin utilizacion del sistema financiero","01"
"formapago_02","Cheque propio","02"
"formapago_03","Cheque certificado","03"
"formapago_04","Cheque de gerencia","04"
"formapago_05","Cheque del exterior","05"
"formapago_06","Débito de cuenta","06"
"formapago_07","Transferencia propio banco","07"
"formapago_08","Transferencia otro banco nacional","08"
"formapago_09","Transferencia  banco exterior","09"
"formapago_10","Tarjeta de crédito nacional","10"
"formapago_11","Tarjeta de crédito internacional","11"
"formapago_12","Giro","12"
"formapago_13","Deposito en cuenta (corriente/ahorros)","13"
"formapago_14","Endoso de inversión","14"
"formapago_15","Compensación de deudas","15"
