id,name,country,city,bic,street,street2,zip,phone
l10n_ec.bank_1,BANCO CENTRAL DEL ECUADOR,Ecuador,GUAYAQUIL,BCENECEQ120,,,,
l10n_ec.bank_2,BANCO PICHINCHA C.A.,Ecuador,Quito,PICHECEQ,Av.Amazonas N39-34,Pereira,170801,(02)2980980
l10n_ec.bank_3,BANCO GUAYAQUIL S.A.,Ecuador,Guayaquil,GUAYECEG,Panama,Victor Manuel Rendon,90313,(04)3730100
l10n_ec.bank_4,"CITIBANK, N.A.",Ecuador,Quito,CITIECE1,Av.República de El Salvador 1082,Av.Naciones Unidas,170135,(02)3939000
l10n_ec.bank_5,"BANCO DE MACHALA, C.A.",Ecuador,Machala,BMACECEG,9 de Mayo,Rocafuerte,90313,(07)2930100
l10n_ec.bank_6,BANCO DE LOJA,Ecuador,Loja,LOJBECEL,Simon Bolivar,Vicente Rocafuerte,110108,(07)2593500
l10n_ec.bank_7,BANCO DEL PACIFICO,Ecuador,Guayaquil,PACIECEG,Francisco Paula de Icaza,Pedro Carbo,90313,(04)3731500
l10n_ec.bank_8,BANCO INTERNACIONAL S.A.,Ecuador,Quito,BINTECEQ,Av.Patria E4-21,9 de Octubre,170143,(02)4009100
l10n_ec.bank_9,BANCO AMAZONAS S.A.,Ecuador,Guayaquil,BASAECEG,Av.Francisco de Orellana,1er Pasaje 10,90512,(04)6021100
l10n_ec.bank_10,BANCO DEL AUSTRO S.A.,Ecuador,Quito,AUSTECEQ,Amazonas,Sta María,170515,1800228787
l10n_ec.bank_11,BANCO DE LA PRODUCCION S.A. PRODUBANCO,Ecuador,Quito,PRODECEQ,Puerta del Sol,Av.Rio Amazonas,170135,(02)2999000
l10n_ec.bank_12,BANCO BOLIVARIANO C.A.,Ecuador,Guayaquil,BBOLECEG,Junín 200,Panamá,90313,(04)2305000
l10n_ec.bank_13,BANCO COMERCIAL DE MANABI S.A.,Ecuador,Portoviejo,CBMIECE1,Av.Reales Tamarindos,Calle Alamos,130101,(05)2440102
l10n_ec.bank_14,BANCO GENERAL RUMINAHUI S.A.,Ecuador,Guayaquil,BGRMECEQ,Av.Luis Plaza Dañin,Av.Pedro Menéndez Gilbert,90513,(04)2000000
l10n_ec.bank_15,BANCO DEL LITORAL,Ecuador,Guayaquil,LITBECEF,Avenida 12 NE 514,Av.Circunvalación Sur,90313,(04)3730510
l10n_ec.bank_16,BANCO SOLIDARIO,Ecuador,Quito,BSGEECEQ,Av.Río Amazonas,Corea,170135,(02)3950600
l10n_ec.bank_17,BANCO PROCREDIT S.A.,Ecuador,Quito,PRCBECEQ,Atahualpa y Amazonas Esq,,170135,(02) 6003820
l10n_ec.bank_18,BANCO CAPITAL S.A,Ecuador,Quito,BCAPECEQ,Av.Río Amazonas 3461,Av.Atahualpa,170135,(02)2259021
l10n_ec.bank_19,BANCO DESARROLLO DE LOS PUEBLOS S.A.,Ecuador,Coca,CODSECEQ,Francisco de Orellana,,,(06)2882105
l10n_ec.bank_20,Banecuador B.P.,Ecuador,,66,,,,
l10n_ec.bank_21,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,Ecuador,PORTOVIEJO,CHDRECE1,,,,
l10n_ec.bank_22,COOPERATIVA DE AHORRO Y CREDITO JARDIN AZUAYO LTDA,Ecuador,PAUTE,CCJAECE1,,,,
l10n_ec.bank_23,COOPERATIVA DE AHORRO Y CREDITO POLICIA NACIONAL LTDA,Ecuador,QUITO,CPCCECE1,,,,
l10n_ec.bank_24,CAJA CENTRAL FINANCOOP,Ecuador,QUITO,CJCFECE1,,,,
l10n_ec.bank_25,BANCO DELBANK S.A.,Ecuador,GUAYAQUIL,DEBNECE1,,,,
l10n_ec.bank_26,Banco Ecuatoriano De La Vivienda,Ecuador,,202,,,,
l10n_ec.bank_27,Cacpeco Ltda,Ecuador,,203,,,,
l10n_ec.bank_28,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE PASTAZA LTDA,Ecuador,PUYO,CACQECE1,,,,
l10n_ec.bank_29,COOPERATIVA DE AHORRO Y CREDITO 23 DE JULIO LTDA,Ecuador,CAYAMBE,CACJECE1,,,,
l10n_ec.bank_30,COOPERATIVA DE AHORRO Y CREDITO '29 DE OCTUBRE' LTDA,Ecuador,CUENCA,COOCECE1320,,,,
